word,weight
irit,3
lebih irit,4
sangat irit,5
hemat,3
hemat bensin,4
aman,2
sangat aman,4
mantap,3
mantap jiwa,4
bagus,2
bagus banget,4
bagus sekali,4
kualitas bagus,3
kualitas baik,3
efisien,3
efisien bahan bakar,4
stabil,3
mesin halus,4
pembakaran bagus,4
lebih bersih,4
ramah lingkungan,5
emisi rendah,4
oktan naik,4
tenaga naik,4
performa bagus,4
responsif,3
cocok,2
sangat cocok,4
kuat,3
tahan lama,4
awet,4
lancar,3
nyaman,3
mesin adem,3
tarikan ringan,4
tidak brebet,5
tidak boros,5
bersih,3
murni,2
berkualitas,4
recommended,4
rekomendasi,3
top,3
keren,3
cakep,3
jos,3
sip,2
gas,2
mantul,3
puas,4
suka,3
senang,3
terbaik,5
solusi,3
membantu,3
mendukung,3
maju,2
inovasi bagus,4
teknologi bagus,4
energi bersih,5
ramah mesin,4
cocok harian,3
tarikan enak,4
suara halus,3
mudah dinyalakan,4
mesin sehat,4
konsumsi irit,5
tidak karat,4
performa meningkat,5
enak dipakai,4
nyaman dipakai,4
mesin responsif,4
pembakaran sempurna,5
tenaga mantap,4
kualitas premium,4
bahan bakar bagus,4
efisiensi tinggi,5
hasil bagus,3
aman digunakan,4
aman buat motor,5
aman buat mobil,5
lebih baik,4
kualitas meningkat,4
teknologi maju,4
ramah bumi,5
tidak bermasalah,4
tanpa kendala,4
minim emisi,4
performa stabil,4
kualitas mantap,4
mantap dipakai,4
bahan bakar bersih,5
lebih efisien,5
irit parah,5
enak banget,4
cocok banget,4
lebih hemat,5
mesin lebih halus,5
tenaga lebih kuat,5
tarikannya enak,4
sangat membantu,4
luar biasa,5
mantap sekali,5
sangat bagus,5
performa meningkat drastis,5
mantap,3
mantapp,3
mantul,4
keren,3
keren banget,5
bagus,3
bagus banget,5
bagus sekali,5
gokil,4
gokil banget,5
top,3
top banget,4
jos,3
jos gandos,5
sip,2
sip banget,3
sippp,3
aman,2
aman banget,4
lebih aman,4
nyaman,3
nyaman banget,5
enak,3
enak banget,5
enak dipakai,4
halus,3
mesin halus,5
tarikan halus,5
irit,4
lebih irit,5
irit banget,5
hemat,3
hemat banget,5
hemat bensin,5
super hemat,5
awet,4
awet banget,5
tahan lama,5
responsif,4
responsif banget,5
enteng,3
enteng tarikannya,5
kenceng,4
makin kenceng,5
powerfull,4
tenaga enak,5
performa bagus,5
performa meningkat,5
pembakaran bagus,5
pembakaran sempurna,5
mesin bersih,5
ramah lingkungan,5
emisi rendah,5
oktan bagus,4
cocok,3
cocok banget,5
cocok dipakai,4
cocok buat harian,5
worth it,5
terbaik,5
terbaik banget,5
rekomendasi,4
recommended,4
recomended,4
mantap jiwa,5
luar biasa,5
sangat bagus,5
sangat membantu,5
membantu banget,5
puas,4
puas banget,5
puas pakai,5
suka,3
suka banget,5
senang,3
seneng,3
seneng banget,5
bahagia,4
keren sih,4
mantap sih,4
gokil sih,4
canggih,4
modern,3
inovatif,4
solusi bagus,5
solusi tepat,5
pintar,3
ide bagus,5
berhasil,4
sukses,4
sukses besar,5
meningkat,3
makin bagus,5
makin enak,5
makin irit,5
makin aman,5
lancar,4
lancar jaya,5
smooth,4
stabil,4
stabil banget,5
optimal,4
maksimal,4
mantab,3
mantabb,4
mantep,3
mantepp,4
kece,3
kece banget,5
keren parah,5
adem,3
adem banget,5
wangi,2
bersih,3
bersih banget,5
positif,3
dukung,3
mendukung,4
setuju,3
setuju banget,5
sepakat,4
valid,4
real,3
fakta bagus,4
good,3
very good,5
amazing,5
excellent,5
perfect,5
mantulll,5
cucok,4
cucok banget,5
auto suka,5
auto puas,5
auto hemat,5
auto irit,5
auto nyaman,5
auto mantap,5
gacor,4
gacor banget,5
ngacir,4
tarikannya enak,5
tarikannya ringan,5
mesin sehat,5
sehat banget,5
josss,4
maknyus,5
maknyuss,5
mantap poll,5
mantap pol,5
pol banget,4
ngangkat,4
tarik mantap,5
tenaga mantap,5
tarik enteng,5
mantap betul,5
luar biasa bagus,5
luar biasa mantap,5
nyaman dipakai,5
nyaman buat harian,5
recommended banget,5
bener bagus,4
asli bagus,4
asli mantap,5
mantep jiwa,5
mantap parah,5
kece parah,5
gokil parah,5
keren poll,5
terbaik sih,5
suka banget sumpah,5
sumpah enak,5
sumpah bagus,5
sumpah mantap,5
worth banget,5
jos tenan,5
cakep,4
cakep banget,5
bening,3
rapih,3
rapi banget,5
kualitas bagus,5
kualitas mantap,5
kualitas premium,5
premium,4
premium banget,5
masuk akal,4
mending,2
untung,4
inovasi ,5
cerdas,4
profesional,5
kerja,4
kualitas,3
solusi,4
percaya,5
menang,5
hemat,5
subsidi,5
rutin,5
syukur,4
sahabat,3
cepat,3
rutin,4
usaha,4
terima,3
laku,3
lapang,2
benar,5
murah,5
sesuai,4
berani,3
saran,4
nilai,3
jujur,5
risiko,2
gampang,5
isi,2
iya,3
sadar,4
pakai,3
pajak,3
solusi,2
uciha,3
penting,4
wacana,4
berkah,4
subur,2
pikir,1
coba,1
ganteng,5
masuk,3
laris,4
standar,4
waras,5
riset,4
senyum,3
stok,1
hormat,3
nikmat,2
potensi,5
dana,2
serius,2
rancang,3
ekonomi,4
paham,3
jalan,3
jabat,2
ramai,2
awat,2
fungsi,3
wajib,3
sifat,2
otomatis,3
kayak,2
lulus,2
proses,2
bangun,2
benerin,3
